year,city_name,city_code,index_aggregate,coverage_breadth,usage_depth,payment,insurance,monetary_fund,investment,credit,credit_investigation,digitization_level,city_norm,source_name_version
2011,秦皇岛市,1303,56.1,61.45,67.25,45.58,65.07,,,70.59,,18.17,秦皇岛,year14
2011,红河哈尼族彝族自治州,5325,41.32,31.86,57.2,66.26,74.17,,,49.11,,43.71,红河哈尼族彝族,year14
2011,绍兴市,3306,77.1,87.3,87.27,91.13,96.24,,,83.1,,24.94,绍兴,year14
2011,绥化市,2312,26.74,10.9,39.6,41.16,37.58,,,40.27,,55.69,绥化,year14
2011,绵阳市,5107,58.66,57.72,59.69,58.44,73.47,,,54.08,,59.9,绵阳,year14
2011,聊城市,3715,43.78,35.45,52.91,40.6,2.67,,,75.24,,54.67,聊城,year14
2011,肇庆市,4412,52.24,44.72,61.78,52.94,54.57,,,65.78,,59.74,肇庆,year14
2011,自贡市,5103,49.94,42.67,72.14,64.48,92.0,,,64.7,,33.62,自贡,year14
2011,舟山市,3309,76.74,95.37,70.67,94.57,81.02,,,63.67,,26.25,舟山,year14
2011,芜湖市,3402,57.03,62.7,64.34,78.54,70.53,,,60.17,,25.02,芜湖,year14
2011,苏州市,3205,80.58,95.29,82.84,94.43,78.8,,,83.22,,27.89,苏州,year14
2011,茂名市,4409,41.63,22.51,60.07,55.05,41.7,,,68.29,,71.26,茂名,year14
2011,荆州市,4210,48.38,39.12,69.19,69.97,63.88,,,71.31,,41.12,荆州,year14
2011,荆门市,4208,43.74,41.98,64.14,59.39,51.82,,,69.81,,12.49,荆门,year14
2011,莆田市,3503,67.55,68.96,74.88,92.96,37.91,,,88.28,,49.58,莆田,year14
2011,莱芜市,3712,48.25,45.84,45.38,14.32,5.12,,,65.66,,61.41,莱芜,year14
2011,菏泽市,3717,32.36,19.06,48.92,47.0,3.27,,,68.18,,46.18,菏泽,year14
2011,萍乡市,3603,51.2,43.17,64.42,63.83,66.51,,,63.61,,53.7,萍乡,year14
2011,营口市,2108,52.27,60.86,51.46,60.66,60.11,,,46.83,,25.38,营口,year14
2011,葫芦岛市,2114,40.47,43.08,47.79,48.31,34.57,,,53.24,,18.58,葫芦岛,year14
2011,蚌埠市,3403,55.02,46.23,69.27,69.48,45.22,,,79.28,,58.15,蚌埠,year14
2011,衡水市,1311,39.48,28.51,49.34,28.12,19.31,,,64.25,,57.76,衡水,year14
2011,衡阳市,4304,42.56,27.08,60.9,58.58,43.82,,,68.29,,60.37,衡阳,year14
2011,衢州市,3308,67.99,74.11,80.4,85.71,71.28,,,83.61,,25.25,衢州,year14
2011,襄阳市,4206,46.47,43.27,50.6,58.57,39.72,,,54.25,,49.52,襄阳,year14
2011,西双版纳傣族自治州,5328,53.17,45.94,64.71,74.52,92.41,,,52.05,,56.05,西双版纳傣族,year14
2011,西宁市,6301,53.25,59.49,24.47,35.8,48.02,,,13.38,,84.95,西宁,year14
2011,西安市,6101,75.39,93.3,54.72,55.47,52.07,,,55.75,,53.82,西安,year14
2011,许昌市,4110,43.14,36.45,50.97,35.19,26.3,,,63.03,,51.0,许昌,year14
2011,贵港市,4508,35.02,18.3,50.88,49.81,35.16,,,57.56,,61.4,贵港,year14
2011,贵阳市,5201,65.63,76.89,54.93,69.68,77.85,,,43.72,,47.88,贵阳,year14
2011,贺州市,4511,43.45,26.83,56.8,61.03,46.39,,,60.67,,74.1,贺州,year14
2011,资阳市,5120,45.44,24.12,72.09,51.8,75.26,,,73.03,,67.4,资阳,year14
